filename,defect_type,severity
data\synthetic\clean_0013_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0013_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0013_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0013_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0013_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0014_blur_mild.jpg,blur,mild
data\synthetic\clean_0014_blur_medium.jpg,blur,medium
data\synthetic\clean_0014_blur_severe.jpg,blur,severe
data\synthetic\clean_0014_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0014_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0014_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0014_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0014_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0014_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0014_noise_mild.jpg,noise,mild
data\synthetic\clean_0014_noise_medium.jpg,noise,medium
data\synthetic\clean_0014_noise_severe.jpg,noise,severe
data\synthetic\clean_0014_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0014_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0014_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0014_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0014_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0014_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0015_blur_mild.jpg,blur,mild
data\synthetic\clean_0015_blur_medium.jpg,blur,medium
data\synthetic\clean_0015_blur_severe.jpg,blur,severe
data\synthetic\clean_0015_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0015_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0015_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0015_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0015_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0015_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0015_noise_mild.jpg,noise,mild
data\synthetic\clean_0015_noise_medium.jpg,noise,medium
data\synthetic\clean_0015_noise_severe.jpg,noise,severe
data\synthetic\clean_0015_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0015_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0015_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0015_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0015_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0015_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0016_blur_mild.jpg,blur,mild
data\synthetic\clean_0016_blur_medium.jpg,blur,medium
data\synthetic\clean_0016_blur_severe.jpg,blur,severe
data\synthetic\clean_0016_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0016_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0016_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0016_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0016_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0016_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0016_noise_mild.jpg,noise,mild
data\synthetic\clean_0016_noise_medium.jpg,noise,medium
data\synthetic\clean_0016_noise_severe.jpg,noise,severe
data\synthetic\clean_0016_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0016_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0016_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0016_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0016_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0016_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0017_blur_mild.jpg,blur,mild
data\synthetic\clean_0017_blur_medium.jpg,blur,medium
data\synthetic\clean_0017_blur_severe.jpg,blur,severe
data\synthetic\clean_0017_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0017_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0017_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0017_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0017_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0017_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0017_noise_mild.jpg,noise,mild
data\synthetic\clean_0017_noise_medium.jpg,noise,medium
data\synthetic\clean_0017_noise_severe.jpg,noise,severe
data\synthetic\clean_0017_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0017_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0017_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0017_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0017_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0017_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0018_blur_mild.jpg,blur,mild
data\synthetic\clean_0018_blur_medium.jpg,blur,medium
data\synthetic\clean_0018_blur_severe.jpg,blur,severe
data\synthetic\clean_0018_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0018_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0018_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0018_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0018_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0018_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0018_noise_mild.jpg,noise,mild
data\synthetic\clean_0018_noise_medium.jpg,noise,medium
data\synthetic\clean_0018_noise_severe.jpg,noise,severe
data\synthetic\clean_0018_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0018_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0018_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0018_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0018_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0018_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0019_blur_mild.jpg,blur,mild
data\synthetic\clean_0019_blur_medium.jpg,blur,medium
data\synthetic\clean_0019_blur_severe.jpg,blur,severe
data\synthetic\clean_0019_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0019_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0019_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0019_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0019_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0019_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0019_noise_mild.jpg,noise,mild
data\synthetic\clean_0019_noise_medium.jpg,noise,medium
data\synthetic\clean_0019_noise_severe.jpg,noise,severe
data\synthetic\clean_0019_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0019_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0019_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0019_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0019_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0019_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0020_blur_mild.jpg,blur,mild
data\synthetic\clean_0020_blur_medium.jpg,blur,medium
data\synthetic\clean_0020_blur_severe.jpg,blur,severe
data\synthetic\clean_0020_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0020_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0020_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0020_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0020_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0020_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0020_noise_mild.jpg,noise,mild
data\synthetic\clean_0020_noise_medium.jpg,noise,medium
data\synthetic\clean_0020_noise_severe.jpg,noise,severe
data\synthetic\clean_0020_corruption_mild.jpg,corruption,mild
data\synthetic\clean_0020_corruption_medium.jpg,corruption,medium
data\synthetic\clean_0020_corruption_severe.jpg,corruption,severe
data\synthetic\clean_0020_visual_defect_mild.jpg,visual_defect,mild
data\synthetic\clean_0020_visual_defect_medium.jpg,visual_defect,medium
data\synthetic\clean_0020_visual_defect_severe.jpg,visual_defect,severe
data\synthetic\clean_0021_blur_mild.jpg,blur,mild
data\synthetic\clean_0021_blur_medium.jpg,blur,medium
data\synthetic\clean_0021_blur_severe.jpg,blur,severe
data\synthetic\clean_0021_underexposure_mild.jpg,underexposure,mild
data\synthetic\clean_0021_underexposure_medium.jpg,underexposure,medium
data\synthetic\clean_0021_underexposure_severe.jpg,underexposure,severe
data\synthetic\clean_0021_overexposure_mild.jpg,overexposure,mild
data\synthetic\clean_0021_overexposure_medium.jpg,overexposure,medium
data\synthetic\clean_0021_overexposure_severe.jpg,overexposure,severe
data\synthetic\clean_0021_noise_mild.jpg,noise,mild
data\synthetic\clean_0021_noise_medium.jpg,noise,medium
data\synthetic\clean_0021_noise_severe.jpg,noise,severe
data\synthetic\clean_0021_corruption_mild.jpg,corruption,mild
